description,record_tracking_list_display_format_id,age_group_desc,record_tracking_list_event_id,gender,distance,stroke_code,course_code,RANK,swim_time,individual_time_id,relay_time_id,preferred_name,first_name,last_name,lsc_id,club_code,team_code,ind_meet_name,rel_meet_name,country_code,location,location_country_code,swim_date,session_desc,relay_lead_yn,bios_display_swap_first_last_name_yn,disable_name_swapping_yn
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,49,1/1/1900 12:00:26 AM,6681249,,Shayne,Shayne,Fleming,PC,DACA,,2004 SN Western Zone Champs,,,Redding,,8/10/2004,,N,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,49,1/1/1900 12:00:26 AM,49094608,,Preston,Preston,Padden,WV,PKB,,2010 GA Southern Zone Championship,,,Atlanta,,7/27/2010,Final,N,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,49,1/1/1900 12:00:26 AM,88242648,,Ethan,Ethan,Dang,PN,KING,,2014 PNS Long Course Championships,,,Federal Way,,7/25/2014,,N,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,49,1/1/1900 12:00:26 AM,130352888,,Rob,Robert,Carpenter,CC,MERC,,2018 CC Mike Snyder Memorial ,,   ,Fresno,,5/27/2018,SwimOff,N,N,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,54,1/1/1900 12:00:26 AM,,,,Carl,Bloebaum,OH,RAYS,,,,   ,Oxford,,7/17/2016,Final,N,N,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,55,1/1/1900 12:00:26 AM,,,Will,William,Anderson,NC,GG,,,,,Shelby,,6/13/2010,,Y,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,55,1/1/1900 12:00:26 AM,,,,Landon,Armstrong,NT,NTN,,,,,Austin,,7/24/2013,Final,N,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,55,1/1/1900 12:00:26 AM,132927204,,Jarrett,Jarrett,Payne,OH,SPY,,2018 Zone AG Champs - Geneva,,   ,Geneva,,8/3/2018,Final,N,N,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,58,1/1/1900 12:00:26 AM,143565025,,,Tyler,Grafmiller,GU,BTA,,2019 ST TXLA LC TAGS,,   ,Austin,,7/28/2019,Final,N,N,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,59,1/1/1900 12:00:26 AM,,,Noel,Noel,Strauss,US,UN,,,,,,,1/1/1985,,N,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,60,1/1/1900 12:00:26 AM,1833318,,,Clinton,Stipek,PN,TSC,,2003 AZ Western Zone Champs,,,Tempe,,8/5/2003,,N,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,61,1/1/1900 12:00:26 AM,57952241,,,Julien,Pinon,FG,SOFL,,2011 NC SZ Age Group Champs,,,Cary,,7/26/2011,Final,N,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,62,1/1/1900 12:00:26 AM,32000437,,David,David,Morgan,CA,CROW,,2008 PC NAPA LCM CBA+,,,NAPA,,6/27/2008,Final,N,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,62,1/1/1900 12:00:26 AM,132673879,,,Carter,Brames,IN,RIV,,2018 IN  Indiana Age Group State,,   ,Indianapolis,,7/28/2018,Final,N,N,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,64,1/1/1900 12:00:26 AM,,,,Todd,Weaver,US,UN,,,,,,,1/1/1978,,N,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,64,1/1/1900 12:00:26 AM,77902316,,,Arion,Solomon,GA,SCAT,,2013 SC Southern Zone Age Grou,,,Greenville,,7/30/2013,Prelim,N,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,66,1/1/1900 12:00:26 AM,,,Darrick,Darrick,Bollinger,OH,TPSC,,,,,,,1/1/1991,,N,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,66,1/1/1900 12:00:26 AM,25269473,,Joshua,Joshua,Smith,CA,NOVA,,2007 CA NOVA IMX Intrasquad,,,Irvine,,7/8/2007,,N,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,66,1/1/1900 12:00:26 AM,121439988,,Daren,Daren,Rodgers,IL,CWAC,,2017 IL LC Age Group Champions,,   ,Pleasant Prairie,,7/30/2017,Final,N,N,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,69,1/1/1900 12:00:26 AM,141005323,,,Santiago,Gonzales,FG,UN,,2019 Karl Dalhouse Memorial,,   ,Kingston,JAM,1/27/2019,Final,N,N,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,70,1/1/1900 12:00:26 AM,12640194,,Bob,Bob,Hwang,CA,CANY,,2005 UT Western Zone Champs,,,KEARNS,,8/9/2005,,N,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,70,1/1/1900 12:00:26 AM,77900703,,Parker,Parker,Hughes,MI,CCSC,,2013 SC Southern Zone Age Grou,,,Greenville,,7/30/2013,Final,N,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,70,1/1/1900 12:00:26 AM,88235252,,Alexander,Alexander,Neff,VA,TIDE,,2014 VA LC AG Champs- CAC,,   ,Christiansburg,,7/24/2014,Final,N,N,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,70,1/1/1900 12:00:26 AM,88270225,,,Logan,Skiles,MA,WSY,,2014  MA GPAC Middle Atlantic LC Junior Olympics,,,Gloucester ,,7/24/2014,Final,N,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,70,1/1/1900 12:00:26 AM,99534862,,Grafton,Grafton,Parlette,MN,RSC,,2015 MN FOXJ Central Zone,,   ,Minneapolis,,8/8/2015,Final,N,N,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,70,1/1/1900 12:00:26 AM,99536023,,Joey,Joel,Wachter,MI,SLS,,2015 MN FOXJ Central Zone,,   ,Minneapolis,,8/8/2015,Final,N,N,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,70,1/1/1900 12:00:26 AM,107748085,,Tyler,Tyler,Hong,LE,LSSC,,2016 LE Robert F. Busbey Invite,,   ,Cleveland,,5/20/2016,Prelim,N,N,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,70,1/1/1900 12:00:26 AM,,,Levani,Levani,Tutovani,NC,UN,,,,   ,Christiansburg,,7/23/2016,Final,N,N,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,78,1/1/1900 12:00:26 AM,24564116,,Daniel,Daniel,Chen,OR,LOSC,,2007 OR MHST A/B ,,,Gresham,,6/21/2007,,N,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,79,1/1/1900 12:00:26 AM,107349126,,Thomas,Thomas,Rotatori,IL,ACAD,,2016 WI LFSC-IL DJ Friendship,,   ,Pleasant Prairie,,4/30/2016,,N,N,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,79,1/1/1900 12:00:26 AM,132927947,,Chase,Chase,Swearingen,OH,OSSC,,2018 Zone AG Champs - Geneva,,   ,Geneva,,8/3/2018,Final,N,N,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,81,1/1/1900 12:00:26 AM,121747801,,,Andrew,Bleuez,GA,SCAT,,2017 MS Southern Zones Age Group,,   ,Tupelo,,8/5/2017,Final,N,N,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,82,1/1/1900 12:00:26 AM,,,Brandon,Brandon,Jernigan,GU,CFSC,,,,,,,1/1/1992,,N,,N
